game,net winnings,bet
1213,1.0,47.0
1214,-1.5,48.0
1215,-5.5,44.0
1216,-26.5,121.0
1217,-81.0,123.0
1218,-36.5,123.0
1219,-11.0,448.0
1220,86.5,522.0
1221,19.0,48.0
1222,-30.5,69.0
1223,-2.5,47.0
1224,5.0,47.0
1225,40.5,128.0
1226,-4.0,48.0
1227,68.5,178.0
1228,-35.5,108.0
1229,32.5,67.0
1230,61.0,260.0
1231,-2.5,52.0
1232,-1.0,45.0
1233,-20.5,200.0
1234,-17.0,163.0
1235,-0.5,48.0
1236,-9.5,47.0
1237,9.5,51.0
1238,-3.5,45.0
1239,1.0,48.0
1240,-12.0,391.0
1241,-8.5,49.0
1242,-89.5,143.0
1243,-0.5,51.0
1244,41.0,83.0
1245,11.5,47.0
1246,6.0,66.0
1247,-6.0,143.0
1248,81.0,180.0
1249,2.0,47.0
1250,5.0,48.0
1251,33.0,176.0
1252,-43.0,258.0
1253,-71.5,105.0
1254,-9.5,48.0
1255,-2.5,46.0
1256,4.5,48.0
1257,-8.0,53.0
1258,-8.5,50.0
1259,0.0,50.0
1260,10.5,50.0
1261,2.0,47.0
1262,5.5,48.0
1263,-65.0,101.0
1264,20.5,144.0
1265,-45.0,373.0
1266,-9.0,46.0
1267,6.0,46.0
1268,-27.5,66.0
1269,-13.0,120.0
1270,-30.0,66.0
1271,-6.5,48.0
1272,-7.0,44.0
1273,-23.5,70.0
1274,25.5,195.0
1275,0.5,49.0
1276,-4.5,46.0
1277,34.0,65.0
1278,-2.0,47.0
1279,73.5,301.0
1280,4.5,186.0
1281,-4.5,106.0
1282,-40.5,355.0
1283,-13.5,141.0
1284,0.5,49.0
1285,4.5,49.0
1286,15.5,49.0
1287,-2.5,49.0
1288,-38.0,123.0
1289,16.5,66.0
1290,-57.0,158.0
1291,-7.5,50.0
1292,84.0,124.0
1293,-16.5,66.0
1294,56.5,104.0
1295,-5.0,54.0
1296,144.5,261.0
1297,3.5,52.0
1298,-44.0,369.0
1299,-1.0,44.0
1300,-3.0,332.0
1301,-2.0,47.0
